Slip Angle,Lateral Force,Normal Force
-0.096,540.19,-224.02
-0.097,533.86,-223.36
-0.098,525.19,-221.21
-0.098,516.12,-221.11
-0.099,509.65,-216.1
-0.1,511.85,-214.35
-0.1,518.77,-215.92
-0.101,527.8,-214.78
-0.102,539.15,-218.04
-0.102,544.9,-220.72
-0.103,549.17,-222
-0.104,549.16,-222
-0.104,542.95,-223.84
-0.105,535.33,-223.1
-0.106,523,-219.54
-0.106,513.23,-217.06
-0.107,509.71,-214.02
-0.108,514.57,-212.12
-0.108,525.04,-212.64
-0.109,534.93,-214.68
-0.11,545.17,-215.38
-0.111,548.53,-219.56
-0.111,550.63,-220.53
-0.112,549.13,-222.28
-0.113,543.49,-223.19
-0.113,533.21,-222.49
-0.114,524.98,-218.99
-0.115,518.02,-215
-0.116,520.72,-213.49
-0.116,528.27,-213.6
-0.117,537.38,-215.57
-0.118,549.3,-217.59
-0.118,554.11,-216.56
-0.119,557.29,-219.93
-0.12,555.26,-220.7
-0.121,551.88,-224.21
-0.121,542.8,-222.97
-0.122,533.5,-220.69
-0.122,524.24,-217.55
-0.123,520.96,-213.89
-0.124,525.58,-210.34
-0.124,533.43,-212.83
-0.125,543.15,-213.82
-0.126,549.78,-215.53
-0.127,554.73,-217.76
-0.127,555.4,-219.56
-0.128,553.34,-224.01
-0.129,548.39,-222.87
-0.13,541.51,-220.58
-0.13,532.03,-218.22
-0.131,525.98,-213.47
-0.132,525.14,-211.82
-0.132,531.47,-210.92
-0.133,538.19,-212.91
-0.134,545.85,-214.75
-0.135,552.58,-216.96
-0.135,557.55,-218.96
-0.136,557.42,-219.06
-0.137,555.9,-221.99
-0.137,549.89,-219.11
-0.138,538.66,-221.72
-0.138,529.63,-216.5
-0.139,523.49,-212.2
-0.14,526.74,-212.76
-0.141,533.31,-211.19
-0.142,542.22,-212.6
-0.142,549.15,-212.99
-0.143,555.62,-215.89
-0.144,558.71,-217.65
-0.144,558.06,-221.04
-0.145,553.16,-220.9
-0.146,544.94,-220.91
-0.146,533.4,-217.99
-0.147,524.95,-214.19
-0.148,522.95,-212.26
-0.148,527.14,-211.1
-0.149,536.1,-211.55
-0.15,545.66,-212.74
-0.151,556.95,-214.67
-0.151,562.45,-218.26
-0.152,560.95,-220.04
-0.153,559.4,-219.98
-0.153,551.2,-220.15
-0.154,540.98,-216.13
-0.155,528.3,-212.02
-0.155,524.44,-212.07
-0.156,525.01,-209.24
-0.157,534.1,-211.09
-0.157,545.32,-211.55
-0.158,554.78,-212.22
-0.159,560.45,-214.71
-0.16,562.39,-218.62
-0.16,562.5,-218.82
-0.161,557.38,-220.37
-0.162,549.74,-219.75
-0.162,538.83,-216.19
-0.163,529.2,-213.66
-0.164,527.01,-209.71
-0.165,529.53,-207.5
-0.165,536.21,-208.38
-0.166,545.9,-208.5
-0.167,552.23,-210.52
-0.167,558.29,-215.62
-0.168,559.53,-218.35
-0.169,559.32,-218.98
-0.169,553.78,-220.67
-0.17,547.14,-216.93
-0.171,536.79,-215.81
-0.171,529.71,-211.49
-0.172,529.2,-207.98
-0.173,535.43,-209.54
-0.174,544.49,-209.59
-0.174,552.64,-212.09
-0.175,559.43,-213.72
-0.176,564.96,-217.92
-0.176,566.47,-216.37
-0.177,562.7,-219.68
-0.178,556.83,-218.55
-0.179,547.05,-218.22
-0.179,536.86,-213.56
-0.18,531.53,-212.41
-0.181,532.18,-209.87
-0.181,538.19,-209.32
-0.182,547.16,-210.89
-0.183,556.69,-210.62
-0.183,562.85,-214.89
-0.184,565.65,-217.33
-0.185,566.52,-219.56
-0.185,560.83,-218.08
-0.186,553.2,-217.59
-0.187,542.82,-215.86
-0.188,533.28,-212.16
-0.188,528.24,-209.79
-0.189,533.24,-209.85
-0.19,542.41,-211.01
-0.19,552.7,-212.22
-0.191,561.02,-212.75
-0.192,566.41,-212.96
-0.192,567.84,-217.17
-0.193,565.11,-217.24
-0.194,560.4,-220.03
-0.194,548.28,-216.27
-0.195,537.33,-215.2
-0.196,531.87,-211.44
-0.196,531.34,-210.53
-0.197,536.87,-208.28
-0.198,547.25,-210.17
-0.199,555.71,-212.68
-0.199,560.75,-210.81
-0.2,564.94,-216.1
-0.201,563.63,-215.58
-0.201,560.39,-218.56
-0.202,553.96,-217.74
-0.203,544.38,-217.03
-0.204,535.92,-212.45
-0.204,530.71,-209.32
-0.205,531.98,-207.65
-0.205,538.88,-207.85
-0.206,546.32,-207.87
-0.206,555.45,-206.7
-0.206,561.49,-209
-0.207,564.08,-213.33
-0.207,564.06,-215.11
-0.207,560.12,-219.76
-0.207,549.62,-216.92
-0.207,537.6,-214.54
-0.207,527.12,-210.83
-0.211,525.04,-206.66
-0.211,534.14,-205.84
-0.21,546.65,-207.01
-0.21,554.86,-209.8
-0.21,559.74,-210.41
-0.21,561.65,-215.53
-0.21,559.99,-212.88
-0.21,554.01,-215.3
-0.21,544.39,-215.81
-0.21,532.43,-211.99
-0.21,522.14,-209.6
-0.21,518.87,-206.16
-0.21,524.39,-205.51
-0.21,534.43,-203.84
-0.21,544.3,-207.14
-0.21,553.34,-208.8
-0.21,558.15,-208.61
-0.21,560.86,-213.77
-0.209,558.25,-215.23
-0.209,550.48,-215.21
-0.208,539.38,-214.72
-0.208,526.76,-210.73
-0.207,520.11,-208.61
-0.206,520.58,-206.51
-0.205,531.09,-206.03
-0.204,544.44,-207.4
-0.203,554.01,-208.56
-0.202,562.26,-209.28
-0.201,563.62,-212.75
-0.201,561.03,-217.24
-0.2,556.1,-216.95
-0.199,547.61,-218.11
-0.198,536.05,-215.33
-0.198,525.05,-212.46
-0.197,522.12,-209.48
-0.196,527.03,-207.81
-0.196,538.32,-206.8
-0.195,550.04,-207.64
-0.194,558.31,-208.6
-0.194,562.49,-212.49
-0.193,563.82,-213.68
-0.193,559.64,-217.01
-0.192,552.55,-219.09
-0.192,542.82,-219.62
-0.191,533.43,-216.57
-0.191,528.5,-211.27
-0.19,528.61,-208.5
-0.189,535.69,-208.39
-0.189,544.48,-208.88
-0.188,552.78,-209.84
-0.187,558.28,-212.5
-0.186,558.86,-214.9
-0.186,559.53,-217.21
-0.185,556.82,-219.08
-0.184,550.42,-219.73
-0.183,543.44,-217.76
-0.182,536,-213.86
-0.182,531.38,-210.57
-0.181,530.83,-207.66
-0.18,536.25,-208.95
-0.179,542.59,-211.68
-0.178,550.06,-210.85
-0.178,554.68,-214.38
-0.177,556.31,-219.78
-0.176,557.41,-217.08
-0.176,554.54,-217.76
-0.175,547.84,-216.16
